Kód lokality,Název lokality,Voliči v seznamu,Vydané obálky,Platné hlasy,ANO 2011,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Dobrá volba 2016,Dělnic.str.sociální spravedl.,Komunistická str.Čech a Moravy,Křesť.demokr.unie-Čs.str.lid.,Občanská demokratická aliance,Občanská demokratická strana,REALISTÉ,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,Referendum o Evropské unii,SPORTOVCI,SPR-Republ.str.Čsl. M.Sládka,STAROSTOVÉ A NEZÁVISLÍ,Strana Práv Občanů,Strana svobodných občanů,Strana zelených,Svob.a př.dem.-T.Okamura (SPD),TOP 09,Česká pirátská strana,Česká str.sociálně demokrat.,Řád národa - Vlastenecká unie
569828,Babice,165,109,108,36,1,0,0,0,19,2,0,7,1,0,0,0,0,0,7,0,0,3,12,9,6,4,1
569836,Barchov,227,141,140,46,0,0,1,1,16,3,0,21,2,0,0,1,1,0,5,1,2,2,6,4,19,9,0
569852,Běleč nad Orlicí,269,207,206,76,0,0,0,0,1,10,0,38,1,0,0,0,0,0,9,0,7,3,25,12,16,8,0
569861,Benátky,93,67,67,19,0,0,0,2,1,5,0,9,0,0,0,0,0,0,9,0,2,0,6,5,7,2,0
569879,Blešno,322,227,227,63,0,0,3,1,6,7,0,53,0,2,0,0,1,0,8,1,2,2,14,13,35,15,1
569887,Boharyně,470,297,297,101,1,0,0,0,31,4,2,20,8,5,1,0,2,1,11,0,4,3,31,8,28,35,1
569917,Černilov,1901,1234,1226,328,1,1,1,2,80,93,6,150,11,12,1,0,5,1,56,1,25,20,146,83,147,50,6
569925,Černožice,893,578,577,223,0,1,2,1,52,30,0,41,2,4,0,0,0,0,25,2,8,7,53,32,68,20,6
569933,Čistěves,129,83,82,21,0,0,0,0,2,6,1,10,0,1,2,0,1,0,11,0,1,1,2,6,15,2,0
569941,Divec,175,111,110,23,0,0,0,0,6,6,0,18,2,1,0,0,0,0,8,0,4,3,11,10,15,3,0
569968,Dobřenice,459,282,279,99,0,0,0,1,23,11,0,37,5,2,0,0,0,0,4,1,6,1,29,17,24,17,2
569976,Dohalice,376,232,231,61,1,0,1,1,14,7,0,20,2,2,1,1,0,0,16,0,4,1,27,13,45,14,0
569984,Dolní Přím,561,418,418,115,0,0,1,3,27,25,0,58,3,3,1,0,0,2,27,3,5,3,41,21,56,23,1
569992,Habřina,235,163,158,61,0,0,0,0,18,4,0,13,0,0,0,0,1,1,4,0,7,0,19,12,7,10,1
570001,Hlušice,616,291,290,110,0,2,1,1,19,6,1,28,4,3,0,0,0,0,21,0,3,4,31,18,23,15,0
570010,Hněvčeves,135,90,90,34,0,0,0,0,4,5,1,16,0,1,0,0,0,0,8,1,5,1,1,1,10,2,0
570028,Holohlavy,747,491,489,187,0,0,1,1,43,10,0,47,4,6,1,0,1,1,26,4,5,3,48,18,48,34,1
570044,Hořiněves,578,331,329,123,0,0,0,2,36,10,1,24,3,5,0,0,0,1,12,0,3,2,50,15,33,9,0
569810,Hradec Králové,74309,49803,49468,14810,34,83,105,35,3262,2869,74,5986,467,269,29,41,82,61,1983,132,884,789,4166,4068,6115,3050,74
570052,Hrádek,163,120,120,49,0,0,0,0,4,1,0,12,0,3,0,0,0,0,2,0,1,2,19,6,9,12,0
570087,Humburky,345,209,207,70,0,2,0,0,5,7,2,17,6,0,0,1,0,0,10,1,2,5,33,5,20,21,0
573621,Hvozdnice,170,132,132,49,0,0,0,0,8,6,0,16,4,1,0,0,0,2,9,1,3,1,12,4,8,8,0
570109,Chlumec nad Cidlinou,4395,2742,2726,764,2,2,3,6,214,237,2,263,62,19,3,2,5,3,77,12,54,41,290,137,326,197,5
570125,Chudeřice,188,119,118,34,0,1,0,1,2,7,0,14,0,0,0,0,0,0,6,0,2,1,19,2,12,16,1
570133,Jeníkovice,363,239,238,87,1,0,0,2,16,16,0,13,2,2,0,0,1,1,8,0,3,3,26,16,20,21,0
576352,Jílovice,257,192,190,55,1,1,1,0,9,12,1,12,1,4,0,1,3,1,12,0,7,1,22,1,26,19,0
570150,Káranice,173,117,117,24,0,0,0,1,24,6,0,11,0,0,0,0,0,0,3,0,2,1,16,2,19,8,0
570168,Klamoš,328,238,237,96,0,0,0,0,36,8,0,15,2,0,0,0,0,0,11,2,2,2,16,10,21,16,0
573710,Kobylice,191,120,120,39,1,0,0,0,5,3,0,20,1,0,0,0,1,0,8,0,2,2,21,5,6,6,0
570176,Kosice,290,183,181,70,1,0,0,1,16,9,0,8,9,0,0,0,1,0,11,1,1,0,22,3,20,8,0
570184,Kosičky,298,165,162,70,0,0,0,2,8,8,0,14,3,0,0,0,0,0,3,1,1,1,16,7,24,3,1
570192,Králíky,313,176,176,75,1,0,0,0,22,3,0,14,2,3,0,0,0,1,8,2,3,3,20,7,9,3,0
570206,Kratonohy,459,293,289,82,0,0,0,1,18,14,2,38,2,3,0,1,0,0,15,0,7,3,45,12,28,18,0
570214,Kunčice,276,200,199,68,1,0,0,0,11,5,0,23,2,4,0,0,1,0,25,0,1,3,16,6,16,17,0
576433,Ledce,301,184,183,61,0,2,0,0,16,18,2,23,3,2,1,0,0,0,8,0,5,1,13,11,10,7,0
570222,Lejšovka,165,114,112,44,0,0,0,0,7,5,0,10,0,5,0,0,0,0,3,0,3,0,19,2,7,6,1
570231,Lhota pod Libčany,743,520,519,164,1,0,1,1,32,21,1,69,6,12,1,0,1,3,26,5,5,6,41,33,59,31,0
570249,Libčany,722,521,513,180,0,0,1,1,35,19,1,65,3,5,1,0,0,3,15,3,6,4,82,20,46,22,1
570257,Libníkovice,125,98,97,19,0,0,1,1,3,12,1,26,1,0,0,0,0,0,3,1,2,0,11,4,6,6,0
570265,Librantice,425,319,319,103,0,0,0,1,10,18,2,31,7,1,3,0,0,0,20,0,12,1,30,28,42,10,0
570273,Libřice,240,176,172,52,0,0,0,0,13,18,1,16,2,1,0,0,0,0,4,1,3,2,22,6,20,11,0
570290,Lišice,140,81,81,29,0,0,0,0,10,10,0,1,0,1,0,0,0,0,2,0,3,0,7,1,3,14,0
570303,Lodín,317,196,194,76,0,0,0,0,16,5,0,19,1,1,0,0,0,0,12,2,5,1,17,7,23,9,0
570311,Lochenice,462,341,338,92,1,0,2,0,23,22,0,60,0,2,1,0,0,1,20,1,11,5,24,27,34,12,0
570320,Lovčice,550,331,331,119,1,2,0,2,27,24,0,18,3,4,0,1,1,0,7,1,3,3,48,9,28,30,0
570354,Lužany,120,69,67,20,2,0,0,0,12,3,0,5,0,0,0,0,0,0,1,2,1,1,2,1,10,7,0
570362,Lužec nad Cidlinou,414,250,249,110,0,0,1,2,9,7,0,30,4,3,0,0,0,0,7,0,5,3,26,9,18,15,0
573779,Máslojedy,172,110,109,39,1,1,0,0,12,4,1,7,0,0,0,0,0,0,2,1,4,5,12,9,8,3,0
570397,Měník,495,346,345,115,1,0,0,1,45,11,0,34,3,2,2,1,0,0,23,2,3,3,40,4,24,31,0
570401,Mlékosrby,187,119,118,41,0,0,0,1,15,6,0,14,2,0,0,0,0,0,4,0,2,1,13,0,16,3,0
570419,Mokrovousy,289,194,194,67,0,0,0,0,16,5,0,16,0,2,0,0,1,0,12,0,8,1,20,6,23,17,0
570427,Myštěves,151,110,108,51,0,0,0,0,10,1,0,4,0,4,0,0,0,0,12,0,1,0,11,2,8,4,0
570435,Mžany,339,240,239,74,0,1,1,0,21,15,0,23,3,4,1,0,0,1,14,1,0,4,31,23,14,7,1
570443,Neděliště,289,187,187,74,0,0,0,1,7,7,0,15,0,4,1,0,1,1,7,3,4,2,16,10,15,19,0
570451,Nechanice,1837,1124,1112,397,0,0,2,1,74,44,1,87,14,8,2,0,1,1,108,0,12,13,112,32,118,82,3
570478,Nepolisy,784,453,452,214,1,1,0,1,33,12,0,31,9,4,0,0,0,0,11,4,5,4,49,10,32,31,0
570494,Nové Město,336,226,225,83,0,1,0,1,33,5,0,20,8,3,0,0,0,0,10,0,4,1,16,9,20,11,0
570508,Nový Bydžov,5682,3186,3162,1070,1,0,3,16,241,121,10,372,69,31,6,6,4,1,98,12,86,39,370,115,282,206,3
548065,Obědovice,235,139,139,57,0,0,0,0,6,9,0,28,2,1,0,0,1,0,6,0,0,2,7,7,7,5,1
570516,Ohnišťany,273,166,166,49,0,0,0,1,18,12,0,15,3,4,0,0,2,0,15,2,0,1,11,6,19,8,0
570524,Olešnice,274,166,164,55,0,1,0,0,14,6,0,21,4,1,0,0,0,1,6,0,6,1,17,3,17,11,0
570532,Osice,384,259,258,107,0,0,0,1,24,9,1,11,2,6,0,0,0,0,4,2,7,5,32,11,28,7,1
570541,Osičky,130,74,73,30,0,0,0,0,5,2,0,2,0,1,0,0,0,0,2,0,1,0,10,6,12,2,0
570567,Petrovice,221,157,156,73,0,0,0,0,23,2,0,3,0,2,0,0,1,0,2,0,2,1,25,2,6,12,2
570575,Písek,205,132,129,41,1,1,0,0,10,3,0,3,1,2,0,0,4,0,6,0,1,2,30,7,5,12,0
570648,Prasek,499,281,281,113,0,0,1,0,21,17,0,17,5,1,0,0,0,1,10,0,2,1,31,6,25,25,5
570656,Praskačka,851,532,529,169,1,0,0,1,43,17,2,67,3,4,0,0,4,3,19,0,8,16,45,33,61,31,2
570672,Předměřice nad Labem,1418,957,944,282,1,0,2,1,57,35,1,148,10,5,1,1,2,1,38,1,17,15,93,68,91,69,5
570681,Převýšov,269,166,165,68,3,0,0,2,6,9,0,7,5,4,0,0,1,0,3,1,3,4,19,1,17,12,0
530671,Pšánky,48,35,35,19,0,0,1,0,2,1,0,1,0,0,0,0,0,0,2,1,0,0,1,0,6,1,0
573531,Puchlovice,99,73,73,44,0,0,0,0,9,1,0,6,0,0,0,0,0,1,3,0,0,0,2,0,6,1,0
570702,Račice nad Trotinou,134,95,94,30,0,0,0,0,11,7,0,9,0,1,0,1,0,0,3,0,4,0,9,6,10,3,0
570711,Radíkovice,150,103,103,27,0,0,0,0,16,3,0,15,2,3,0,0,0,0,5,0,5,0,13,2,6,5,1
570729,Radostov,112,88,87,25,0,0,0,0,6,5,0,1,0,3,0,0,0,0,12,0,0,4,4,5,19,3,0
570745,Roudnice,522,363,357,126,0,0,1,0,26,7,1,61,5,8,0,0,3,0,17,4,2,6,23,12,30,25,0
573191,Sadová,270,204,204,83,0,0,0,0,12,10,2,16,1,3,0,0,0,1,20,0,2,0,12,8,19,15,0
570796,Sendražice,323,223,222,99,0,0,1,1,16,3,0,31,0,0,0,0,0,1,4,0,2,2,21,11,20,10,0
570800,Skalice,468,314,312,98,1,0,0,0,21,18,0,40,2,5,0,0,0,0,15,0,3,5,44,7,40,13,0
570834,Skřivany,817,459,459,155,0,0,0,4,46,16,0,30,13,9,0,0,0,1,20,1,6,8,58,14,36,42,0
570851,Sloupno,428,270,270,96,0,2,0,0,19,2,2,22,3,4,0,0,1,0,28,0,3,2,25,11,31,19,0
570869,Smidary,1296,711,700,274,1,1,0,3,105,27,0,48,10,12,5,0,0,0,17,1,2,6,81,9,45,53,0
570877,Smiřice,2284,1302,1292,465,1,3,2,6,98,46,0,114,11,12,1,2,3,6,56,19,19,17,148,51,141,64,7
570885,Smržov,396,271,269,79,2,0,1,0,17,16,1,35,1,3,0,1,1,0,12,1,6,1,29,13,37,13,0
570907,Sovětice,168,121,121,34,0,0,0,0,13,9,0,10,1,5,0,2,0,0,9,0,0,1,16,8,9,4,0
570915,Stará Voda,115,84,83,33,0,0,1,0,7,6,0,3,0,3,0,0,0,0,5,0,1,5,7,3,8,1,0
573132,Starý Bydžov,335,187,185,76,0,0,0,0,20,2,0,11,2,2,2,0,0,0,6,0,1,1,22,8,15,17,0
570931,Stěžery,1510,1107,1099,385,1,1,2,1,72,29,4,119,2,6,2,0,3,0,57,3,23,19,107,66,139,58,0
570958,Stračov,248,157,157,51,0,0,0,1,7,7,0,29,0,0,0,1,0,0,14,2,2,1,10,1,14,15,2
570966,Střezetice,309,217,217,52,1,0,1,0,25,10,1,28,2,1,0,0,0,0,9,0,2,1,23,22,22,16,1
548154,Světí,237,164,163,58,1,3,1,1,8,13,0,12,1,0,1,0,1,0,5,0,4,1,15,7,22,9,0
571008,Syrovátka,333,215,210,102,1,0,0,1,10,5,0,11,4,5,0,0,1,0,1,1,2,0,27,10,16,12,1
571016,Šaplava,103,66,66,28,0,0,0,0,3,4,0,5,1,1,0,0,0,0,4,0,0,0,6,1,7,6,0
571024,Těchlovice,284,217,212,83,0,0,0,0,23,9,0,35,2,0,0,0,0,0,3,0,3,3,23,4,14,10,0
571041,Třebechovice pod Orebem,4614,2947,2924,906,3,8,1,2,165,169,5,396,25,30,1,0,4,8,127,5,60,54,323,143,313,170,6
571059,Třesovice,200,126,126,39,0,0,0,0,15,2,0,8,2,0,0,1,1,2,8,0,4,4,22,1,3,14,0
513717,Urbanice,267,180,179,62,1,0,0,0,30,3,0,24,0,7,1,0,1,0,7,1,3,0,8,8,15,8,0
571083,Vinary,345,215,214,79,0,0,0,2,31,11,0,24,1,3,1,0,0,0,13,0,4,0,18,3,7,17,0
548057,Vrchovnice,56,45,45,21,0,0,0,1,4,1,0,3,0,0,0,0,0,0,4,1,0,0,4,3,1,2,0
